month,total.total,timeRange.start,timeRange.end
2001-07-02T00:00:00.000Z,41,2001-07-02T00:00:00.000Z,2001-07-03T00:00:00.000Z
2001-07-03T00:00:00.000Z,51,2001-07-03T00:00:00.000Z,2001-07-04T00:00:00.000Z
2001-07-04T00:00:00.000Z,74,2001-07-04T00:00:00.000Z,2001-07-05T00:00:00.000Z
2001-07-05T00:00:00.000Z,54,2001-07-05T00:00:00.000Z,2001-07-06T00:00:00.000Z
2001-07-06T00:00:00.000Z,55,2001-07-06T00:00:00.000Z,2001-07-07T00:00:00.000Z
2001-07-07T00:00:00.000Z,34,2001-07-07T00:00:00.000Z,2001-07-08T00:00:00.000Z
2001-07-08T00:00:00.000Z,19,2001-07-08T00:00:00.000Z,2001-07-09T00:00:00.000Z
2001-07-09T00:00:00.000Z,49,2001-07-09T00:00:00.000Z,2001-07-10T00:00:00.000Z
2001-07-10T00:00:00.000Z,39,2001-07-10T00:00:00.000Z,2001-07-11T00:00:00.000Z
2001-07-11T00:00:00.000Z,46,2001-07-11T00:00:00.000Z,2001-07-12T00:00:00.000Z
2001-07-12T00:00:00.000Z,79,2001-07-12T00:00:00.000Z,2001-07-13T00:00:00.000Z
2001-07-13T00:00:00.000Z,61,2001-07-13T00:00:00.000Z,2001-07-14T00:00:00.000Z
2001-07-14T00:00:00.000Z,15,2001-07-14T00:00:00.000Z,2001-07-15T00:00:00.000Z
2001-07-15T00:00:00.000Z,21,2001-07-15T00:00:00.000Z,2001-07-16T00:00:00.000Z
2001-07-16T00:00:00.000Z,27,2001-07-16T00:00:00.000Z,2001-07-17T00:00:00.000Z
2001-07-17T00:00:00.000Z,48,2001-07-17T00:00:00.000Z,2001-07-18T00:00:00.000Z
2001-07-18T00:00:00.000Z,45,2001-07-18T00:00:00.000Z,2001-07-19T00:00:00.000Z
2001-07-19T00:00:00.000Z,47,2001-07-19T00:00:00.000Z,2001-07-20T00:00:00.000Z
2001-07-20T00:00:00.000Z,49,2001-07-20T00:00:00.000Z,2001-07-21T00:00:00.000Z
2001-07-21T00:00:00.000Z,14,2001-07-21T00:00:00.000Z,2001-07-22T00:00:00.000Z
2001-07-22T00:00:00.000Z,59,2001-07-22T00:00:00.000Z,2001-07-23T00:00:00.000Z
2001-07-23T00:00:00.000Z,38,2001-07-23T00:00:00.000Z,2001-07-24T00:00:00.000Z
2001-07-24T00:00:00.000Z,59,2001-07-24T00:00:00.000Z,2001-07-25T00:00:00.000Z
2001-07-25T00:00:00.000Z,88,2001-07-25T00:00:00.000Z,2001-07-26T00:00:00.000Z
2001-07-26T00:00:00.000Z,315,2001-07-26T00:00:00.000Z,2001-07-27T00:00:00.000Z
2001-07-27T00:00:00.000Z,381,2001-07-27T00:00:00.000Z,2001-07-28T00:00:00.000Z
2001-07-28T00:00:00.000Z,183,2001-07-28T00:00:00.000Z,2001-07-29T00:00:00.000Z
2001-07-29T00:00:00.000Z,137,2001-07-29T00:00:00.000Z,2001-07-30T00:00:00.000Z
2001-07-30T00:00:00.000Z,245,2001-07-30T00:00:00.000Z,2001-07-31T00:00:00.000Z
2001-07-31T00:00:00.000Z,182,2001-07-31T00:00:00.000Z,2001-08-01T00:00:00.000Z
2001-08-01T00:00:00.000Z,89,2001-08-01T00:00:00.000Z,2001-08-02T00:00:00.000Z
2001-08-02T00:00:00.000Z,175,2001-08-02T00:00:00.000Z,2001-08-03T00:00:00.000Z
2001-08-03T00:00:00.000Z,167,2001-08-03T00:00:00.000Z,2001-08-04T00:00:00.000Z
2001-08-04T00:00:00.000Z,127,2001-08-04T00:00:00.000Z,2001-08-05T00:00:00.000Z
2001-08-05T00:00:00.000Z,107,2001-08-05T00:00:00.000Z,2001-08-06T00:00:00.000Z
2001-08-06T00:00:00.000Z,77,2001-08-06T00:00:00.000Z,2001-08-07T00:00:00.000Z
2001-08-07T00:00:00.000Z,114,2001-08-07T00:00:00.000Z,2001-08-08T00:00:00.000Z
2001-08-08T00:00:00.000Z,137,2001-08-08T00:00:00.000Z,2001-08-09T00:00:00.000Z
2001-08-09T00:00:00.000Z,196,2001-08-09T00:00:00.000Z,2001-08-10T00:00:00.000Z
2001-08-10T00:00:00.000Z,167,2001-08-10T00:00:00.000Z,2001-08-11T00:00:00.000Z
2001-08-11T00:00:00.000Z,91,2001-08-11T00:00:00.000Z,2001-08-12T00:00:00.000Z
2001-08-12T00:00:00.000Z,74,2001-08-12T00:00:00.000Z,2001-08-13T00:00:00.000Z
2001-08-13T00:00:00.000Z,145,2001-08-13T00:00:00.000Z,2001-08-14T00:00:00.000Z
2001-08-14T00:00:00.000Z,89,2001-08-14T00:00:00.000Z,2001-08-15T00:00:00.000Z
2001-08-15T00:00:00.000Z,118,2001-08-15T00:00:00.000Z,2001-08-16T00:00:00.000Z
2001-08-16T00:00:00.000Z,146,2001-08-16T00:00:00.000Z,2001-08-17T00:00:00.000Z
2001-08-17T00:00:00.000Z,223,2001-08-17T00:00:00.000Z,2001-08-18T00:00:00.000Z
2001-08-18T00:00:00.000Z,174,2001-08-18T00:00:00.000Z,2001-08-19T00:00:00.000Z
2001-08-19T00:00:00.000Z,104,2001-08-19T00:00:00.000Z,2001-08-20T00:00:00.000Z
2001-08-20T00:00:00.000Z,112,2001-08-20T00:00:00.000Z,2001-08-21T00:00:00.000Z
2001-08-21T00:00:00.000Z,140,2001-08-21T00:00:00.000Z,2001-08-22T00:00:00.000Z
2001-08-22T00:00:00.000Z,188,2001-08-22T00:00:00.000Z,2001-08-23T00:00:00.000Z
2001-08-23T00:00:00.000Z,114,2001-08-23T00:00:00.000Z,2001-08-24T00:00:00.000Z
2001-08-24T00:00:00.000Z,121,2001-08-24T00:00:00.000Z,2001-08-25T00:00:00.000Z
2001-08-25T00:00:00.000Z,105,2001-08-25T00:00:00.000Z,2001-08-26T00:00:00.000Z
2001-08-26T00:00:00.000Z,110,2001-08-26T00:00:00.000Z,2001-08-27T00:00:00.000Z
2001-08-27T00:00:00.000Z,85,2001-08-27T00:00:00.000Z,2001-08-28T00:00:00.000Z
2001-08-28T00:00:00.000Z,107,2001-08-28T00:00:00.000Z,2001-08-29T00:00:00.000Z
2001-08-29T00:00:00.000Z,86,2001-08-29T00:00:00.000Z,2001-08-30T00:00:00.000Z
2001-08-30T00:00:00.000Z,127,2001-08-30T00:00:00.000Z,2001-08-31T00:00:00.000Z
2001-08-31T00:00:00.000Z,131,2001-08-31T00:00:00.000Z,2001-09-01T00:00:00.000Z
2001-09-01T00:00:00.000Z,112,2001-09-01T00:00:00.000Z,2001-09-02T00:00:00.000Z
2001-09-02T00:00:00.000Z,105,2001-09-02T00:00:00.000Z,2001-09-03T00:00:00.000Z
2001-09-03T00:00:00.000Z,134,2001-09-03T00:00:00.000Z,2001-09-04T00:00:00.000Z
2001-09-04T00:00:00.000Z,178,2001-09-04T00:00:00.000Z,2001-09-05T00:00:00.000Z
2001-09-05T00:00:00.000Z,191,2001-09-05T00:00:00.000Z,2001-09-06T00:00:00.000Z
2001-09-06T00:00:00.000Z,232,2001-09-06T00:00:00.000Z,2001-09-07T00:00:00.000Z
2001-09-07T00:00:00.000Z,117,2001-09-07T00:00:00.000Z,2001-09-08T00:00:00.000Z
2001-09-08T00:00:00.000Z,107,2001-09-08T00:00:00.000Z,2001-09-09T00:00:00.000Z
